Track Name,Artist Name(s),Release Date,Duration (ms),Popularity,Genres,
I Think You Were in My Profile Picture Once,Modern Baseball,11/27/12,79796,55,"alternative emo,emo,philly indie,pov: indie",
Infinity Exposed,Modern Baseball,10/23/15,128170,36,"alternative emo,emo,philly indie,pov: indie",
Intersection,Modern Baseball,12/1/17,233320,49,"alternative emo,emo,philly indie,pov: indie",
It's Cold Out Here,Modern Baseball,10/30/15,176384,50,"alternative emo,emo,philly indie,pov: indie",
Just Another Face,Modern Baseball,12/1/16,236683,2,"alternative emo,emo,philly indie,pov: indie",
Look Out,Modern Baseball,11/27/12,55506,39,"alternative emo,emo,philly indie,pov: indie",
Mass,Modern Baseball,5/13/16,104598,47,"alternative emo,emo,philly indie,pov: indie",
Mass Re-Done,Modern Baseball,12/1/17,133735,37,"alternative emo,emo,philly indie,pov: indie",
My Love,Modern Baseball,10/30/15,213276,40,"alternative emo,emo,philly indie,pov: indie",
Note To Self,Modern Baseball,5/13/16,229075,40,"alternative emo,emo,philly indie,pov: indie",
Notes,Modern Baseball,2/11/14,135682,40,"alternative emo,emo,philly indie,pov: indie",
Phone Tag,Modern Baseball,2/13/14,173287,27,"alternative emo,emo,philly indie,pov: indie",
Play Ball!,Modern Baseball,11/27/12,136000,41,"alternative emo,emo,philly indie,pov: indie",
Pothole,Modern Baseball,2/11/14,156010,45,"alternative emo,emo,philly indie,pov: indie",
Re-Do,Modern Baseball,11/27/12,131000,60,"alternative emo,emo,philly indie,pov: indie",
Re-Done,Modern Baseball,11/27/12,272319,0,"alternative emo,emo,philly indie,pov: indie",
Revenge Of The Nameless Ranger,Modern Baseball,10/23/15,152648,36,"alternative emo,emo,philly indie,pov: indie",
Rock Bottom,Modern Baseball,2/11/14,132810,55,"alternative emo,emo,philly indie,pov: indie",
"See Ya, Sucker",Modern Baseball,11/27/12,132398,43,"alternative emo,emo,philly indie,pov: indie",
Short,Modern Baseball,10/30/15,100097,38,"alternative emo,emo,philly indie,pov: indie",
Tears Over Beers,Modern Baseball,11/27/12,168750,67,"alternative emo,emo,philly indie,pov: indie",
The Old Gospel Choir,Modern Baseball,2/11/14,153082,43,"alternative emo,emo,philly indie,pov: indie",
The Thrash Particle,Modern Baseball,10/23/15,203030,53,"alternative emo,emo,philly indie,pov: indie",
The Waterboy Returns,Modern Baseball,10/23/15,162470,51,"alternative emo,emo,philly indie,pov: indie",
The Weekend,Modern Baseball,11/27/12,210250,51,"alternative emo,emo,philly indie,pov: indie",
This Song Is Gonna Buy Brendan Lukens a New Pair of Socks,"Modern Baseball,The Superweaks,Thin Lips",1/20/17,206099,17,"alternative emo,emo,philly indie,pov: indie,bubblegrunge,diy emo,indie punk",
Timmy Bowers,Modern Baseball,2/11/14,125334,39,"alternative emo,emo,philly indie,pov: indie",
Two Good Things,Modern Baseball,2/11/14,168885,48,"alternative emo,emo,philly indie,pov: indie",
Wedding Singer,Modern Baseball,5/13/16,167491,51,"alternative emo,emo,philly indie,pov: indie",
What If...,Modern Baseball,5/13/16,126687,35,"alternative emo,emo,philly indie,pov: indie",
Your Graduation,Modern Baseball,2/11/14,163760,63,"alternative emo,emo,philly indie,pov: indie",
Under The Light,Modern Bodies,10/14/22,142320,8,,
Swimmers,Modern Chemistry,12/7/18,330341,10,"anthem emo,new jersey indie",
I Melt with You,Modern English,4/23/82,251573,55,"new romantic,new wave,new wave pop,synthpop",
I Melt with You,Modern English,4/23/82,251573,55,"new romantic,new wave,new wave pop,synthpop",
Child's Play,Modern Eon,4/28/14,236721,34,uk post-punk,
Criminals,Modern Nature,8/23/19,262687,12,"experimental folk,pastoral",
Leave Your Name And Number,Modern Nomad,11/1/23,194973,21,baltimore indie,
Honey,"The Motel Brothers,Katie Buxton",8/30/19,211125,47,,
My Vices (Clarity),Gwap,10/6/23,180113,24,,
Smoke Rings,Modern Vices,10/21/14,224809,0,"indie garage rock,indie surf",
Float On,Modest Mouse,4/5/04,208466,76,"alternative rock,chamber pop,indie rock,indietronica,modern rock,washington indie",
One Chance,Modest Mouse,4/5/04,181506,45,"alternative rock,chamber pop,indie rock,indietronica,modern rock,washington indie",
Chocky,Mogwai,3/29/99,563333,10,"british post-rock,compositional ambient,cosmic post-rock,dream pop,electronica,indie rock,instrumental post-rock,post-rock,scottish rock",
Christmas Steps,Mogwai,3/29/99,639026,13,"british post-rock,compositional ambient,cosmic post-rock,dream pop,electronica,indie rock,instrumental post-rock,post-rock,scottish rock",
Cody,Mogwai,3/29/99,393240,19,"british post-rock,compositional ambient,cosmic post-rock,dream pop,electronica,indie rock,instrumental post-rock,post-rock,scottish rock",
Coolverine,Mogwai,9/1/17,376706,28,"british post-rock,compositional ambient,cosmic post-rock,dream pop,electronica,indie rock,instrumental post-rock,post-rock,scottish rock",
Ex-Cowboy,Mogwai,3/29/99,549400,12,"british post-rock,compositional ambient,cosmic post-rock,dream pop,electronica,indie rock,instrumental post-rock,post-rock,scottish rock",
Golden Porsche,Mogwai,6/9/03,168480,41,"british post-rock,compositional ambient,cosmic post-rock,dream pop,electronica,indie rock,instrumental post-rock,post-rock,scottish rock",
Helps Both Ways,Mogwai,3/29/99,293360,14,"british post-rock,compositional ambient,cosmic post-rock,dream pop,electronica,indie rock,instrumental post-rock,post-rock,scottish rock",
Hunted by a Freak,Mogwai,6/9/03,256092,43,"british post-rock,compositional ambient,cosmic post-rock,dream pop,electronica,indie rock,instrumental post-rock,post-rock,scottish rock",
I Know You Are but What Am I?,Mogwai,6/9/03,317240,41,"british post-rock,compositional ambient,cosmic post-rock,dream pop,electronica,indie rock,instrumental post-rock,post-rock,scottish rock",
Kappa,Mogwai,3/29/99,292760,13,"british post-rock,compositional ambient,cosmic post-rock,dream pop,electronica,indie rock,instrumental post-rock,post-rock,scottish rock",
May Nothing but Happiness Come Through Your Door,Mogwai,3/29/99,509800,15,"british post-rock,compositional ambient,cosmic post-rock,dream pop,electronica,indie rock,instrumental post-rock,post-rock,scottish rock",
Moses? I Amn't,Mogwai,6/9/03,181346,34,"british post-rock,compositional ambient,cosmic post-rock,dream pop,electronica,indie rock,instrumental post-rock,post-rock,scottish rock",
Oh! How the Dogs Stack Up,Mogwai,3/29/99,123840,10,"british post-rock,compositional ambient,cosmic post-rock,dream pop,electronica,indie rock,instrumental post-rock,post-rock,scottish rock",
Punk Rock:,Mogwai,3/29/99,128826,17,"british post-rock,compositional ambient,cosmic post-rock,dream pop,electronica,indie rock,instrumental post-rock,post-rock,scottish rock",
Punk Rock/Puff Daddy/Antichrist,Mogwai,3/29/99,134373,8,"british post-rock,compositional ambient,cosmic post-rock,dream pop,electronica,indie rock,instrumental post-rock,post-rock,scottish rock",
Ratts of the Capital,Mogwai,6/9/03,505413,30,"british post-rock,compositional ambient,cosmic post-rock,dream pop,electronica,indie rock,instrumental post-rock,post-rock,scottish rock",
Stop Coming to My House,Mogwai,6/9/03,293520,28,"british post-rock,compositional ambient,cosmic post-rock,dream pop,electronica,indie rock,instrumental post-rock,post-rock,scottish rock",
Waltz for Aidan,Mogwai,3/29/99,224000,13,"british post-rock,compositional ambient,cosmic post-rock,dream pop,electronica,indie rock,instrumental post-rock,post-rock,scottish rock",
Year 2000 Non-Compliant Cardia,Mogwai,3/29/99,205640,13,"british post-rock,compositional ambient,cosmic post-rock,dream pop,electronica,indie rock,instrumental post-rock,post-rock,scottish rock",
Судно (Борис Рижий),Molchat Doma,9/7/18,141394,76,"belarusian indie,russian post-punk,sovietwave",
Hey Kids,"Molina,Late Verlane",4/20/18,233374,68,danish indie pop,
Wild,Molly Burch,10/5/18,220575,31,countrygaze,
Rygg mot rygg,Molly Sandén,4/27/18,206549,0,"swedish idol pop,swedish pop",
*Sobs Quietly*,Mom Jeans.,7/3/16,118464,56,"alternative emo,diy emo,emo,indie punk,north carolina emo",
Circus Clown,Mom Jeans.,2/25/22,151188,45,"alternative emo,diy emo,emo,indie punk,north carolina emo",
Danger Can't,Mom Jeans.,7/3/16,214679,49,"alternative emo,diy emo,emo,indie punk,north carolina emo",
Death Cup,Mom Jeans.,7/3/16,276000,61,"alternative emo,diy emo,emo,indie punk,north carolina emo",
Edward 40hands,Mom Jeans.,7/3/16,266427,58,"alternative emo,diy emo,emo,indie punk,north carolina emo",
Girl Scout Cookies,Mom Jeans.,7/3/16,225863,49,"alternative emo,diy emo,emo,indie punk,north carolina emo",
Graduating Life,Mom Jeans.,2/25/22,160266,37,"alternative emo,diy emo,emo,indie punk,north carolina emo",
"Heck You Bart, Pt. II: Electric Boogaloo",Mom Jeans.,3/7/17,321115,36,"alternative emo,diy emo,emo,indie punk,north carolina emo",
Scott Pilgrim vs. My GPA,Mom Jeans.,7/3/16,239597,58,"alternative emo,diy emo,emo,indie punk,north carolina emo",
jon bong jovi,Mom Jeans.,7/3/18,271293,37,"alternative emo,diy emo,emo,indie punk,north carolina emo",
Movember,"Mom Jeans.,sarahlevy",7/3/16,217260,47,"alternative emo,diy emo,emo,indie punk,north carolina emo",
PICKLE BART,Mom Jeans.,7/3/18,236493,36,"alternative emo,diy emo,emo,indie punk,north carolina emo",
pt. 2,Mom Jeans.,7/3/18,172013,34,"alternative emo,diy emo,emo,indie punk,north carolina emo",
Poor Boxer Shorts,Mom Jeans.,7/3/16,233067,47,"alternative emo,diy emo,emo,indie punk,north carolina emo",
Remy's Boyz,Mom Jeans.,7/3/16,180108,40,"alternative emo,diy emo,emo,indie punk,north carolina emo",
Scott Pilgrim vs. My Gpa - Audiotree Live Version,"Mom Jeans.,Audiotree",2/14/18,231507,27,"alternative emo,diy emo,emo,indie punk,north carolina emo",
Scott Pilgrim vs. My GPA,Mom Jeans.,7/3/16,239597,58,"alternative emo,diy emo,emo,indie punk,north carolina emo",
Scott Pilgrim vs. My Gpa - Audiotree Live Version,"Mom Jeans.,Audiotree",2/14/18,231507,27,"alternative emo,diy emo,emo,indie punk,north carolina emo",
Vape Nation,Mom Jeans.,7/3/16,184500,46,"alternative emo,diy emo,emo,indie punk,north carolina emo",
Vape Nation - Audiotree Live Version,"Mom Jeans.,Audiotree",2/14/18,203050,23,"alternative emo,diy emo,emo,indie punk,north carolina emo",
What's Up?,Mom Jeans.,2/25/22,141908,59,"alternative emo,diy emo,emo,indie punk,north carolina emo",
White Trash Millionaire,Mom Jeans.,2/25/22,158853,52,"alternative emo,diy emo,emo,indie punk,north carolina emo",
YIKES (daddy wants wings),Mom Jeans.,10/6/17,319506,38,"alternative emo,diy emo,emo,indie punk,north carolina emo",
glamorous,Mom Jeans.,7/3/18,248650,35,"alternative emo,diy emo,emo,indie punk,north carolina emo",
Movember,"Mom Jeans.,sarahlevy",7/3/16,217260,47,"alternative emo,diy emo,emo,indie punk,north carolina emo",
near death fail comp (must watch til end),Mom Jeans.,7/3/18,205685,42,"alternative emo,diy emo,emo,indie punk,north carolina emo",
now THIS is podracing,Mom Jeans.,7/3/18,151452,47,"alternative emo,diy emo,emo,indie punk,north carolina emo",
"Season 9, Ep. 2-3 - Audiotree Live Version","Mom Jeans.,Audiotree",2/14/18,123185,24,"alternative emo,diy emo,emo,indie punk,north carolina emo",
Shred Cruz,Mom Jeans.,3/7/17,128089,50,"alternative emo,diy emo,emo,indie punk,north carolina emo",
sponsor me tape,Mom Jeans.,7/3/18,236289,40,"alternative emo,diy emo,emo,indie punk,north carolina emo",
you can't eat cats kevin,Mom Jeans.,7/3/18,165962,47,"alternative emo,diy emo,emo,indie punk,north carolina emo",
Conversation,Mom Rock,1/1/19,183111,32,austin rock,
Take Me To You,"Mom's Home,Jake Joyce",2/21/21,197142,21,,
Sunday,Momma,10/31/23,200453,39,"bubblegrunge,indie rock,small room",
ocean floor,mommy,3/13/18,68000,44,lo-fi beats,
Pick It Up,MOMOMO,8/25/23,211996,19,,
Big Love Ahead,Mon RovÎa,1/26/23,108000,59,,
To Watch the World Spin Without You,Mon RovÎa,5/31/23,152346,57,,
Us & Them,MONA,10/28/16,200346,0,,
Crazy For Love,"Mondays,Lucy",1/12/17,174000,46,,
Don't Take It Personal (Just One of Dem Days),Monica,7/18/95,258466,60,"contemporary r&b,hip pop,r&b,urban contemporary",
Love Is An Only Child,Monico Blonde,4/28/17,144921,31,welsh indie,
Romance,Monogram,10/23/14,255957,3,,
Want Me Too,"Baas,Lil Slimento",10/6/23,233360,1,,
call me what u want,Mons Vi,9/16/22,166557,48,bedroom pop,
A Cinematic Plea for an End,Montaigne,11/21/14,222120,22,"australian indie,australian pop",
Because I Love You,Montaigne,8/5/16,217618,48,"australian indie,australian pop",
Love Might Be Found (Volcano),Montaigne,8/30/19,223933,26,"australian indie,australian pop",
Hotel,Montell Fish,10/28/22,197333,80,pittsburgh rap,
Triangle,Moon Laika,6/27/17,106315,44,background music,
SummerBrain,Moon Panda,7/21/23,208407,52,,
Good As Gold,Moon Taxi,1/19/18,192960,44,"indie poptimism,modern alternative rock",
Let The Record Play,Moon Taxi,1/19/18,188666,32,"indie poptimism,modern alternative rock",
Make Your Mind Up,Moon Taxi,10/2/15,213066,32,"indie poptimism,modern alternative rock",
Morocco,Moon Taxi,9/10/13,208053,46,"indie poptimism,modern alternative rock",
Southern Trance,Moon Taxi,2/7/12,183853,0,"indie poptimism,modern alternative rock",
Two High,Moon Taxi,1/19/18,213120,54,"indie poptimism,modern alternative rock",
Zaris,Mooncake,5/9/11,315329,38,"atmospheric post-rock,instrumental post-rock,post-rock,russian post-rock",
Hit The Lights,Moontower,8/28/20,206526,17,la pop,
Rerun,Moontower,8/28/20,202526,21,la pop,
Boston,Moose Blood,10/7/14,152442,40,"alternative emo,anthem emo,dreamo,emo,kent indie",
Bukowski,Moose Blood,10/7/14,196287,41,"alternative emo,anthem emo,dreamo,emo,kent indie",
Cheek,Moose Blood,8/5/16,230480,27,"alternative emo,anthem emo,dreamo,emo,kent indie",
Cherry,Moose Blood,10/7/14,159711,50,"alternative emo,anthem emo,dreamo,emo,kent indie",
Gum,Moose Blood,10/7/14,181387,55,"alternative emo,anthem emo,dreamo,emo,kent indie",
Have I Told You Enough,Moose Blood,3/9/18,267600,34,"alternative emo,anthem emo,dreamo,emo,kent indie",
Honey,Moose Blood,8/5/16,208160,41,"alternative emo,anthem emo,dreamo,emo,kent indie",
I Don't Love You,Moose Blood,5/19/17,231771,31,"alternative emo,anthem emo,dreamo,emo,kent indie",
It's Too Much,Moose Blood,3/9/18,236560,44,"alternative emo,anthem emo,dreamo,emo,kent indie",
Just Outside,Moose Blood,3/9/18,155400,25,"alternative emo,anthem emo,dreamo,emo,kent indie",
Knuckles,Moose Blood,8/5/16,224840,49,"alternative emo,anthem emo,dreamo,emo,kent indie",
Knuckles (Acoustic),Moose Blood,9/8/16,227349,40,"alternative emo,anthem emo,dreamo,emo,kent indie",
Pastel,Moose Blood,8/5/16,191160,32,"alternative emo,anthem emo,dreamo,emo,kent indie",
Spring,Moose Blood,8/5/16,193745,8,"alternative emo,anthem emo,dreamo,emo,kent indie",
Sulk,Moose Blood,8/5/16,189973,29,"alternative emo,anthem emo,dreamo,emo,kent indie",
Swim Down,Moose Blood,10/7/14,197751,43,"alternative emo,anthem emo,dreamo,emo,kent indie",
Talk In Your Sleep,Moose Blood,3/9/18,225800,31,"alternative emo,anthem emo,dreamo,emo,kent indie",
You're in My Head,"moow,Lotte Kestner",1/27/17,97050,56,"lo-fi beats,indie psych-pop",
Mid December,Morgen Star,8/3/17,210461,2,,
Find Your Place,Morning Silk,7/5/23,187666,5,,
How You Do It,Signal Band,7/20/18,193000,0,bouyon,
Nightlife,Morning Silk,8/30/23,188253,36,,
Nothing Feels The Same,Morning Silk,12/14/22,237480,8,,
Under The Light,Morning Silk,10/25/22,200200,14,,
No Distance,Morning Teleportation,10/12/18,138742,30,kentucky indie,
Empress,Morningsiders,3/29/19,199742,62,folk-pop,
New Girl,Housewife,2020,154841,28,toronto rap,
Shalala,Moses Gunn Collective,8/7/15,228015,56,"indie garage rock,neo-psychedelic",
Here If You Want (Pale Blue),MOSSS,6/16/17,199035,52,chill pop,
Aviation Goggles,Moth Wings,6/23/16,201283,1,houston indie,
Dread In My Heart,Mother Mother,9/18/12,151506,44,"pov: indie,vancouver indie",
Ghosting,Mother Mother,9/23/08,285986,65,"pov: indie,vancouver indie",
Sucralose,Mother Sun,1/24/20,216066,0,,
Salt Lake City,Motherfolk,2/27/14,231975,48,cincinnati indie,
Trying to Kill the Moon,Motherfolk,4/1/17,223624,39,cincinnati indie,
It Hurts Until It Doesn't,Mothers,2/26/16,333514,33,"bubblegrunge,indie rock",
No One - Kayge Calypso & DUNN Remix,MOTHICA,7/1/16,212307,45,"alt z,vapor soul",
No One - Kayge Calypso & DUNN Remix,MOTHICA,7/1/16,212307,45,"alt z,vapor soul",
Self-Destructive,MOTHICA,4/21/17,222893,33,"alt z,vapor soul",
Antonia,Motion City Soundtrack,4/29/08,196373,34,"emo,neon pop punk,pop punk",
Everything Is Alright,Motion City Soundtrack,6/7/05,207633,64,"emo,neon pop punk,pop punk",
Hold Your Own,Mountains Like Wax,4/8/22,228228,2,,
Tokyo Summer,Mounties,3/4/14,242270,36,toronto indie,
American Sign Language,Mourners,12/15/17,203546,13,,
Stay Gone,Mourners,3/2/18,181208,11,,
aom,mouse on the keys,12/12/12,226506,20,"instrumental math rock,japanese post-rock,math rock,modern jazz trio",
Stars Down (feat. Dominique Fils-Aime),"mouse on the keys,Dominique Fils-Aime",5/23/18,283750,15,"instrumental math rock,japanese post-rock,math rock,modern jazz trio",
Freestyle Skiing,"Moveek,The Cab",10/27/23,133093,29,"neon pop punk,pop punk,vegas indie",
Colorblind,Movements,10/20/17,220373,58,"alternative emo,dreamo,midwest emo,pop punk,socal pop punk",
Daylily,Movements,10/20/17,208853,65,"alternative emo,dreamo,midwest emo,pop punk,socal pop punk",
Full Circle,Movements,10/20/17,204786,60,"alternative emo,dreamo,midwest emo,pop punk,socal pop punk",
Hatchet - Catacomb Session,Movements,10/14/16,153770,34,"alternative emo,dreamo,midwest emo,pop punk,socal pop punk",
Nineteen,Movements,3/11/16,241034,50,"alternative emo,dreamo,midwest emo,pop punk,socal pop punk",
Latchkey,Mover Shaker,11/21/19,132870,9,diy emo,
No Backyard,Mover Shaker,12/12/16,210138,7,diy emo,
Quiet Room,Mover Shaker,12/12/16,206659,13,diy emo,
Between Us & Them,Moving Units,2/4/03,208880,22,"dance-punk,la indie",
I Love It When You Cry (Moxoki) - Radio Edit,"Steve Aoki,Moxie Raia",5/11/15,191652,49,"edm,electro house,pop dance,indie poptimism",
Buffalo Bill,Eminem,5/15/09,236840,50,"detroit hip hop,hip hop,rap",
I Love It When You Cry (Moxoki) - Radio Edit,"Steve Aoki,Moxie Raia",5/11/15,191652,49,"edm,electro house,pop dance,indie poptimism",
Dancing In The Summer,Mr Floyd Larry,10/19/22,171428,31,,
Magic,Mr Jukes,7/14/17,255573,32,"british soul,indie soul",
Fool 4 You - Rytmeklubben Remix,"Mr Little Jeans,Rytmeklubben",8/19/16,223000,0,"chillwave,shimmer pop,norwegian pop",
Hotels (Tk),Mr. Carter Davis,5/19/17,179403,33,,
Broken Wings (Remastered) - Live,Mr. Mister,4/30/20,372964,19,"album rock,new romantic,new wave pop,soft rock,synthpop",
Feels 2 - Acoustic,MRG,1/7/22,85800,3,,
Doo Wop (That Thing),Ms. Lauryn Hill,8/25/98,320266,78,"alternative r&b,conscious hip hop,hip hop,neo soul,new jersey rap,r&b,soul",
"Every Ghetto, Every City",Ms. Lauryn Hill,8/25/98,314706,52,"alternative r&b,conscious hip hop,hip hop,neo soul,new jersey rap,r&b,soul",
Ex-Factor,Ms. Lauryn Hill,8/25/98,326533,75,"alternative r&b,conscious hip hop,hip hop,neo soul,new jersey rap,r&b,soul",
Guarding The Gates - From Queen & Slim: The Soundtrack,Ms. Lauryn Hill,11/15/19,360312,43,"alternative r&b,conscious hip hop,hip hop,neo soul,new jersey rap,r&b,soul",
Guarding The Gates - From Queen & Slim: The Soundtrack,Ms. Lauryn Hill,11/15/19,360312,43,"alternative r&b,conscious hip hop,hip hop,neo soul,new jersey rap,r&b,soul",
Intro,Ms. Lauryn Hill,8/25/98,47293,52,"alternative r&b,conscious hip hop,hip hop,neo soul,new jersey rap,r&b,soul",
Lost Ones,Ms. Lauryn Hill,8/25/98,333906,64,"alternative r&b,conscious hip hop,hip hop,neo soul,new jersey rap,r&b,soul",
blue boy,Mt Vice,11/21/22,165465,11,,
bright eyes,Mt Vice,7/28/23,150000,15,,
like a stone,Mt Vice,9/29/23,163539,20,,
Chroma,Mt. Eddy,6/2/17,501425,32,modern alternative rock,
Doze Off,Mt. Eddy,6/2/17,190775,22,modern alternative rock,
Lovely,Mt. Eddy,6/2/17,203098,42,modern alternative rock,
Metaphor,Mt. Eddy,6/2/17,211086,32,modern alternative rock,
Wilshambe,Mt. Eddy,6/2/17,189199,20,modern alternative rock,
Working Title,Mt. Eddy,6/2/17,219567,26,modern alternative rock,
Dirty Love,Mt. Joy,3/2/18,164626,74,stomp and holler,
Every Holiday,Mt. Joy,6/5/20,225160,41,stomp and holler,
Jenny Jenkins,Mt. Joy,3/2/18,199386,66,stomp and holler,
Roly Poly,Mt. Joy,6/17/22,156800,61,stomp and holler,
Silver Lining,Mt. Joy,3/2/18,198600,78,stomp and holler,
Strangers,Mt. Joy,6/5/20,193186,71,stomp and holler,
Witness,Mt. Joy,6/5/20,234600,59,stomp and holler,
Play with You,Mugisho,1/20/17,186412,22,scandinavian r&b,
Sober,Mumblr,9/16/14,136724,23,,
Believe,Mumford & Sons,5/4/15,220866,63,"modern folk rock,modern rock,neo mellow,stomp and holler,uk americana",
Friend of the Devil,Mumford & Sons,5/20/16,271025,54,"modern folk rock,modern rock,neo mellow,stomp and holler,uk americana",
Little Lion Man,Mumford & Sons,1/1/09,245173,71,"modern folk rock,modern rock,neo mellow,stomp and holler,uk americana",
The Cave,Mumford & Sons,1/1/09,215626,66,"modern folk rock,modern rock,neo mellow,stomp and holler,uk americana",
The Wolf,Mumford & Sons,5/4/15,221240,55,"modern folk rock,modern rock,neo mellow,stomp and holler,uk americana",
Comes in Two,Munan,9/13/23,214850,24,,
Freak Like Me,Munan,10/6/22,261413,22,,
Jeremy,Muncie Girls,8/31/18,227000,25,"bubblegrunge,devon indie,indie punk,uk diy punk",
Back To Love,Murat Beyaz,12/12/20,189544,23,,
Close To You,Muràl,7/14/23,185678,20,,
Madness,Muse,9/24/12,281040,69,"alternative rock,modern rock,permanent wave,rock",
Undisclosed Desires,Muse,9/10/09,235000,69,"alternative rock,modern rock,permanent wave,rock",
Uprising,Muse,9/10/09,304840,78,"alternative rock,modern rock,permanent wave,rock",
Alex Impulse,Museum Mouth,5/27/14,201828,0,indie punk,
,,0000,0,0,,
Get Fucked,Mustard Service,6/17/17,178179,0,"indie garage rock,miami indie",
"Oh, Honey Baby",Mustard Service,6/17/17,129029,0,"indie garage rock,miami indie",
Taking up Space,Mustard Service,6/17/17,217656,52,"indie garage rock,miami indie",
Pixie Oaks,Mutemath,9/8/17,269722,26,alternative rock,
Little Ways,Mutual Benefit,7/13/23,331409,17,shimmer psych,
Always Be Loving You - La Felix Remix,"My Brothers And I,La Felix",8/9/19,203784,30,"indiecoustica,nz pop",
Dream,My Brothers And I,9/18/15,253448,11,indiecoustica,
Fly Away,My Brothers And I,9/18/15,247338,29,indiecoustica,
In The Stars,Benson Boone,4/29/22,216410,87,singer-songwriter pop,
Maddy Brown,My Brothers And I,9/18/15,219695,34,indiecoustica,
Missing You,My Brothers And I,10/30/20,210748,12,indiecoustica,
Mistakes,"My Brothers And I,Bastian Lorenz",9/23/16,251333,0,indiecoustica,
Na Na Na,"My Brothers And I,Cathode",9/23/16,193958,13,indiecoustica,
Nowhere to Run,My Brothers And I,9/18/15,209014,26,indiecoustica,
Scars,I AM THEY,3/2/18,238306,64,"ccm,christian alternative rock,christian music",
stay here,"Lofuu,Shiloh Dynasty,dprk",12/16/22,64593,55,"lo-fi chill,sad lo-fi",
Desert Song,My Chemical Romance,3/17/06,230706,53,"emo,modern rock,pop punk,pov: indie,rock",
Helena,My Chemical Romance,6/8/04,204733,79,"emo,modern rock,pop punk,pov: indie,rock",
I'm Not Okay (I Promise),My Chemical Romance,6/8/04,186480,79,"emo,modern rock,pop punk,pov: indie,rock",
Teenagers,My Chemical Romance,10/23/06,161920,84,"emo,modern rock,pop punk,pov: indie,rock",
Welcome to the Black Parade,My Chemical Romance,10/23/06,311106,80,"emo,modern rock,pop punk,pov: indie,rock",
Standing in This Dream,My Dear,3/30/18,226373,31,"french indie pop,french indietronica",
White Lies,My Dear Disco,10/11/08,446432,10,"ann arbor indie,michigan indie",
un fair,My Friend Shawn,9/29/23,164201,11,,
Belle Isle,My Girlfriend Beru,11/23/18,297992,0,"ann arbor indie,michigan indie",
In the Best Case Scenario We'd Die at the Same Time,My Name Is Ian,9/14/18,188925,1,"cardiff indie,welsh indie",
Old Glass Table,My Pizza My World,11/25/16,248000,23,"crack rock steady,folk punk",
The Sun,Myd,10/13/17,208946,53,"filter house,french indie pop,french indietronica,new french touch",
Was It Something I Said,MyKey,7/26/19,220588,59,bedroom pop,
Carol of the Bells,"Mykola Dmytrovych Leontovych,John Williams",1990,85266,77,"post-romantic era,ukrainian classical,orchestral soundtrack,soundtrack",
Bubblegum,Mystery Jets,1/15/16,264946,47,"british indie rock,dance-punk,english indie rock,new rave,scottish rock,shimmer pop",
Kissing On Your Dad,Myylo,7/10/20,156516,24,,
Final Song,MØ,5/13/16,235826,67,"dance pop,danish pop,electropop,pop dance",
Kamikaze,Eminem,8/31/18,216029,64,"detroit hip hop,hip hop,rap",
Nights With You,MØ,4/21/17,197494,56,"dance pop,danish pop,electropop,pop dance",
Sun In Our Eyes,"MØ,Diplo",10/19/18,217932,49,"dance pop,danish pop,electropop,pop dance,edm,electro house,moombahton",
THE LONELIEST,Måneskin,10/7/22,247067,76,"indie rock italiano,italian pop",
Fin,Mélanie Laurent,5/2/11,131280,47,french pop,
You Know What,N.E.R.D,1/1/08,270680,52,"hip hop,virginia hip hop",
Lonely,NAV,2/24/17,215293,52,"canadian hip hop,canadian trap,melodic rap,rap,trap",
10 Feet Down,"NF,Ruelle",10/6/17,217106,61,"hip hop,pop rap,bossbeat,metropopolis",
3 A.M.,NF,10/6/17,218200,58,"hip hop,pop rap",
All I Do,NF,4/22/16,228493,51,"hip hop,pop rap",
All I Have,NF,3/31/15,248213,62,"hip hop,pop rap",
Breathe,NF,4/22/16,259106,53,"hip hop,pop rap",
Can You Hold Me,"NF,Britt Nicole",3/31/15,221200,64,"hip hop,pop rap,ccm,cedm,christian alternative rock,christian music",
Dreams,NF,10/6/17,221573,63,"hip hop,pop rap",
Face It,NF,3/31/15,219960,52,"hip hop,pop rap",
Got You On My Mind,NF,4/22/16,241160,59,"hip hop,pop rap",
Green Lights,NF,10/6/17,181866,60,"hip hop,pop rap",
Grindin',"NF,Marty",4/22/16,277293,64,"hip hop,pop rap,christian hip hop,christian trap",
Hands Up,NF,8/5/14,199266,47,"hip hop,pop rap",
How Could You Leave Us,NF,4/22/16,322586,67,"hip hop,pop rap",
I Can Feel It,NF,4/22/16,233573,50,"hip hop,pop rap",
I Just Wanna Know,NF,4/22/16,226306,56,"hip hop,pop rap",
I'll Keep On,"NF,Jeremiah Carlson",3/31/15,254693,52,"hip hop,pop rap",
If You Want Love,NF,10/6/17,199386,75,"hip hop,pop rap",
Intro III,NF,10/6/17,268666,64,"hip hop,pop rap",
Intro III,NF,10/6/17,268666,64,"hip hop,pop rap",
Intro III,NF,10/6/17,268666,64,"hip hop,pop rap",
Just Being Me,NF,8/5/14,223093,48,"hip hop,pop rap",
Know,NF,10/6/17,238666,56,"hip hop,pop rap",
Let You Down,NF,10/6/17,212120,82,"hip hop,pop rap",
