ID,Delivery_person_Ratings,Type_of_order,Type_of_vehicle,temperature,weather_description,Traffic_Level,Distance (km),Delivery Duration
578D,4.2,Drinks,motorcycle,19.77,mist,Moderate,8.99,39.93
5.10E+03,4.7,Meal,motorcycle,19.72,clear sky,Very High,27.62,59.95
18BB,4.6,Snack,motorcycle,19.22,fog,High,18.42,53.73
8812,4.4,Drinks,electric_scooter,19.72,clear sky,High,15.56,49.23
2603,4.6,Buffet,motorcycle,19.17,clear sky,High,13.16,36.05
90DC,5.0,Snack,motorcycle,21.65,broken clouds,Moderate,8.2,29.75
66C2,4.9,Drinks,scooter,22.88,clear sky,Low,5.41,20.95
AE3D,4.6,Drinks,scooter,18.93,clear sky,High,13.24,44.07
C3BB,4.7,Buffet,scooter,23.0,haze,Moderate,11.3,29.03
AB8A,4.2,Snack,motorcycle,24.86,mist,Low,3.13,20.43
DE31,4.9,Drinks,scooter,21.58,clear sky,Moderate,20.42,38.28
6823,4.8,Drinks,motorcycle,17.84,clear sky,High,10.34,50.67
3.00E+92,4.7,Snack,motorcycle,17.79,clear sky,High,11.5,43.22
4CF4,4.7,Meal,motorcycle,17.88,clear sky,High,19.56,41.88
9.00E+36,4.8,Snack,motorcycle,25.14,mist,Very High,26.2,63.67
1C13,4.6,Meal,scooter,23.38,clear sky,Low,7.87,17.58
48D6,4.1,Drinks,motorcycle,26.43,mist,Moderate,6.02,34.13
F62,4.9,Buffet,motorcycle,24.96,mist,Moderate,8.86,27.38
93E,4.6,Drinks,scooter,18.02,broken clouds,Very Low,2.11,18.52
6B00,4.6,Drinks,electric_scooter,26.99,smoke,Moderate,4.39,37.37
B4E6,5.0,Drinks,motorcycle,22.88,clear sky,Very High,22.71,55.17
459F,4.5,Meal,scooter,18.26,scattered clouds,Moderate,12.79,24.38
3408,4.9,Meal,scooter,26.31,mist,High,10.88,40.22
DE9C,4.6,Drinks,scooter,23.91,mist,High,16.75,56.42
D223,4.6,Buffet,motorcycle,17.77,mist,Low,6.97,24.12
AF87,4.7,Snack,scooter,26.97,smoke,High,8.8,41.5
B0C1,4.7,Buffet,motorcycle,17.18,haze,Moderate,13.4,28.77
7BC,4.9,Drinks,scooter,17.74,clear sky,Very Low,1.9,18.75
5B07,4.5,Buffet,motorcycle,27.04,clear sky,Very High,25.68,63.27
365A,4.8,Meal,motorcycle,25.27,mist,Very High,32.94,55.55
746A,4.3,Buffet,motorcycle,23.72,clear sky,Low,3.84,13.9
660D,4.7,Meal,scooter,19.89,clear sky,Very High,25.22,65.97
96EE,4.7,Snack,motorcycle,19.26,clear sky,Low,7.32,24.07
7647,3.9,Snack,motorcycle,17.15,haze,Very High,23.47,52.38
6448,4.7,Meal,scooter,18.05,scattered clouds,High,25.16,42.98
3CF7,4.9,Snack,motorcycle,19.2,clear sky,Low,6.27,22.98
7075,4.0,Snack,motorcycle,19.12,clear sky,High,17.06,48.62
6A3B,5.0,Buffet,scooter,18.37,broken clouds,Moderate,15.09,33.87
878A,4.5,Snack,scooter,17.6,clear sky,High,20.31,48.08
2739,4.6,Drinks,scooter,24.12,clear sky,Moderate,7.8,35.72
FDA,4.9,Meal,scooter,21.32,broken clouds,Very Low,2.13,9.2
2D0D,4.6,Meal,motorcycle,24.94,mist,Moderate,13.88,33.7
2725,4.6,Drinks,scooter,25.0,mist,Moderate,13.73,42.98
A893,4.8,Drinks,scooter,24.88,mist,Low,4.02,25.35
4.00E+97,4.7,Snack,motorcycle,17.16,haze,Moderate,7.01,26.92
C6D8,4.8,Buffet,motorcycle,21.3,clear sky,Very High,23.11,50.87
DDF7,4.6,Snack,motorcycle,24.01,mist,Very High,17.48,53.38
BACD,4.9,Buffet,motorcycle,21.01,broken clouds,Very High,32.68,63.73
4C08,4.6,Buffet,scooter,21.22,broken clouds,Low,2.32,15.5
C92F,4.6,Meal,electric_scooter,18.29,clear sky,High,15.13,44.02
1476,4.7,Snack,scooter,21.27,overcast clouds,Very High,20.07,59.6
2218,4.6,Buffet,scooter,26.89,clear sky,Very High,33.8,78.32
6428,4.8,Buffet,motorcycle,18.97,clear sky,Very High,17.97,49.03
7897,4.8,Drinks,motorcycle,19.64,mist,Very High,16.69,66.83
1810,4.9,Meal,scooter,24.81,mist,Moderate,8.79,30.52
258C,4.6,Drinks,motorcycle,21.14,broken clouds,Very Low,2.62,19.75
9FEE,4.9,Buffet,motorcycle,19.31,clear sky,Very Low,2.25,10.07
4A3A,4.7,Buffet,scooter,25.15,mist,Very High,24.89,57.05
86C2,4.5,Meal,motorcycle,25.01,mist,High,15.4,39.98
7C03,4.5,Drinks,electric_scooter,18.29,scattered clouds,Moderate,14.88,41.05
54BD,5.0,Meal,motorcycle,24.42,clear sky,High,19.11,36.15
5787,5.0,Meal,scooter,17.05,haze,Low,5.8,18.95
BD26,4.8,Drinks,motorcycle,19.98,haze,High,18.08,50.88
13CA,4.7,Snack,scooter,22.89,clear sky,Low,5.51,16.13
74EE,4.6,Drinks,motorcycle,25.1,mist,Very High,26.45,67.15
3B7C,4.4,Meal,scooter,26.43,mist,Moderate,6.67,27.93
2713,4.7,Meal,motorcycle,18.4,scattered clouds,Moderate,11.89,29.0
BA54,4.8,Drinks,motorcycle,27.01,smoke,High,10.43,48.85
5D2A,4.9,Meal,motorcycle,25.15,mist,High,21.28,46.25
DF49,4.7,Snack,electric_scooter,18.94,clear sky,Low,3.65,20.0
44C9,4.8,Meal,motorcycle,26.99,smoke,Moderate,8.82,33.8
7B26,4.8,Drinks,motorcycle,26.71,smoke,Low,2.48,25.02
8FFD,4.6,Snack,motorcycle,26.51,mist,Moderate,8.21,30.25
A3EC,4.5,Snack,scooter,21.56,broken clouds,Moderate,9.22,32.05
24C8,4.9,Drinks,scooter,24.96,mist,Moderate,8.74,34.52
CF90,4.3,Meal,motorcycle,18.45,clear sky,Very High,31.39,59.12
3DD3,3.9,Drinks,motorcycle,25.15,mist,Very High,24.96,65.03
6FE,4.6,Buffet,scooter,17.18,clear sky,Moderate,12.85,31.15
E059,4.6,Snack,motorcycle,20.03,clear sky,Very High,30.72,75.33
7C45,4.9,Buffet,electric_scooter,22.47,clear sky,High,24.65,41.0
A787,4.7,Drinks,motorcycle,19.9,clear sky,Very High,22.01,59.07
3245,4.1,Drinks,scooter,17.78,clear sky,High,18.12,49.68
154C,5.0,Drinks,scooter,17.74,clear sky,Very Low,2.16,19.43
BCFB,5.0,Snack,motorcycle,17.08,haze,Moderate,6.16,26.52
A948,4.0,Snack,motorcycle,23.26,clear sky,Moderate,10.36,26.78
48CF,4.6,Snack,motorcycle,19.96,clear sky,High,17.04,49.32
FE5,4.7,Buffet,motorcycle,17.72,clear sky,High,8.16,34.43
8.00E+07,4.2,Snack,motorcycle,18.21,broken clouds,Low,5.19,20.3
D595,4.5,Buffet,scooter,23.91,mist,High,18.84,47.25
50BA,4.8,Buffet,motorcycle,19.64,haze,Low,4.13,16.17
934A,4.3,Snack,motorcycle,26.43,mist,Low,4.46,25.48
A798,4.7,Snack,motorcycle,21.4,broken clouds,Moderate,10.22,30.42
A672,4.3,Buffet,scooter,26.69,smoke,Very High,20.12,66.03
284B,4.7,Drinks,scooter,19.9,clear sky,Very High,20.18,60.48
53A0,4.9,Snack,scooter,26.52,smoke,Very High,19.04,61.85
AA1F,4.7,Meal,motorcycle,21.39,broken clouds,Moderate,11.17,28.45
464C,4.9,Meal,scooter,22.85,clear sky,Low,6.97,14.4
88BD,4.7,Meal,motorcycle,19.81,clear sky,Very High,31.09,67.63
7442,5.0,Meal,motorcycle,19.81,haze,Moderate,9.22,31.22
9163,3.9,Drinks,motorcycle,27.04,clear sky,Very High,23.41,64.67
8D17,4.8,Snack,motorcycle,19.99,haze,High,14.46,44.88
319B,4.6,Drinks,scooter,18.97,clear sky,High,17.24,50.93
A89A,4.8,Snack,scooter,17.21,haze,Moderate,16.14,34.0
8016,4.3,Buffet,scooter,26.34,mist,Low,2.33,17.55
E04B,4.8,Buffet,scooter,24.72,scattered clouds,High,27.0,47.7
BAE1,4.5,Snack,scooter,19.97,clear sky,Very High,25.14,66.73
B799,5.0,Snack,scooter,26.69,smoke,Very High,20.12,68.03
D5CB,4.7,Meal,scooter,17.94,mist,Low,4.08,16.93
B51,4.9,Meal,motorcycle,19.39,clear sky,High,23.4,44.08
6FDF,4.8,Buffet,motorcycle,23.61,clear sky,Very Low,3.3,12.12
CB60,4.3,Meal,motorcycle,17.56,mist,High,17.72,44.35
5C78,3.7,Buffet,scooter,19.89,mist,Very High,22.32,61.73
9.00E+51,4.5,Drinks,motorcycle,26.71,smoke,Very High,20.7,67.12
A47C,3.8,Buffet,scooter,26.21,smoke,Very High,32.73,94.6
70BD,4.5,Buffet,motorcycle,19.18,clear sky,Low,2.5,13.08
508D,5.0,Snack,motorcycle,22.83,clear sky,Very High,24.01,52.58
C3DE,4.9,Snack,motorcycle,21.86,clear sky,Very High,20.18,54.9
23B5,4.0,Meal,motorcycle,17.72,clear sky,High,8.16,32.47
9ADD,4.6,Drinks,motorcycle,19.55,mist,Very High,18.77,61.22
5CE5,4.7,Buffet,motorcycle,23.97,clear sky,Very Low,3.13,11.75
3.00E+02,4.1,Buffet,motorcycle,21.53,broken clouds,Low,5.97,22.15
6270,4.8,Buffet,scooter,23.21,clear sky,Low,5.58,16.08
9223,4.7,Snack,motorcycle,19.63,haze,Moderate,7.81,26.13
1B44,4.7,Drinks,scooter,21.13,overcast clouds,Very High,26.16,61.45
4.00E+85,4.4,Snack,scooter,18.42,scattered clouds,High,20.42,38.13
A163,4.4,Buffet,motorcycle,26.9,smoke,Moderate,7.96,34.65
DD85,4.7,Snack,motorcycle,17.77,mist,Moderate,11.15,29.23
6ECA,4.0,Snack,motorcycle,17.32,clear sky,High,24.35,47.45
9.00E+02,4.6,Snack,motorcycle,17.67,clear sky,Low,7.87,24.7
B67B,4.6,Meal,scooter,17.08,haze,Very Low,2.29,10.38
1AB6,4.6,Snack,scooter,18.3,scattered clouds,Moderate,16.33,35.45
1955,4.9,Drinks,motorcycle,26.93,smoke,Very Low,2.23,23.02
9CF3,4.6,Snack,scooter,17.19,haze,Moderate,14.29,35.3
1ED9,4.8,Buffet,motorcycle,26.63,smoke,Moderate,7.28,30.05
4F47,4.9,Snack,motorcycle,21.33,broken clouds,High,18.67,43.2
3B64,4.8,Meal,motorcycle,26.69,smoke,Very High,19.24,52.8
4A57,4.9,Snack,scooter,26.41,mist,Low,5.98,24.55
A91F,4.6,Meal,motorcycle,21.23,broken clouds,Very Low,1.83,7.45
5236,4.7,Buffet,motorcycle,19.75,mist,Moderate,11.94,34.25
AA5B,4.1,Drinks,motorcycle,22.84,clear sky,Low,8.57,25.58
698F,4.1,Drinks,scooter,26.4,broken clouds,Very High,25.66,75.83
2BA0,4.2,Meal,scooter,19.07,fog,High,23.84,46.43
4FA8,4.5,Buffet,scooter,17.74,clear sky,Very Low,1.91,11.87
3938,4.7,Snack,motorcycle,17.97,broken clouds,High,26.11,40.02
7C85,4.6,Buffet,motorcycle,19.7,haze,Low,6.25,19.8
B81B,4.9,Buffet,motorcycle,25.08,mist,Very High,26.09,51.27
1A0D,4.8,Drinks,motorcycle,17.67,clear sky,Low,7.47,28.18
2315,4.6,Meal,motorcycle,19.22,fog,High,18.06,38.22
3E2A,4.5,Snack,motorcycle,22.9,clear sky,Low,5.22,16.2
6518,4.8,Drinks,motorcycle,17.23,clear sky,High,19.08,42.78
B4D6,4.9,Drinks,motorcycle,17.84,clear sky,High,,43.18
9BE1,4.6,Meal,motorcycle,23.44,clear sky,Low,7.74,18.27
7A91,4.8,Meal,motorcycle,17.86,scattered clouds,High,24.54,33.68
4BD2,4.7,Drinks,scooter,26.71,smoke,High,21.67,58.23
F24,4.3,Drinks,motorcycle,27.05,clear sky,Very High,23.45,58.63
3E0C,4.3,Drinks,motorcycle,19.58,mist,High,16.27,46.78
2762,5.0,Snack,motorcycle,25.27,mist,High,31.46,51.75
17C0,4.5,Buffet,motorcycle,17.65,broken clouds,High,27.2,47.75
54BE,4.8,Meal,motorcycle,22.48,clear sky,Moderate,17.99,29.33
47D6,3.6,Drinks,scooter,18.28,broken clouds,High,16.85,49.92
1BCD,4.9,Drinks,motorcycle,26.4,mist,Low,4.36,26.87
13DD,4.3,Drinks,motorcycle,26.39,scattered clouds,Very High,19.45,65.33
1.00E+92,4.0,Buffet,motorcycle,26.39,broken clouds,High,15.96,41.53
635F,4.8,Buffet,motorcycle,17.16,haze,Low,7.01,23.77
92C5,3.8,Snack,motorcycle,19.18,mist,High,16.49,39.35
E0BC,4.6,Meal,motorcycle,18.06,clear sky,High,19.77,39.12
4.00E+64,5.0,Snack,motorcycle,26.39,scattered clouds,Very High,26.07,68.95
7132,4.6,Snack,motorcycle,21.34,broken clouds,High,14.76,43.07
5B72,4.5,Snack,motorcycle,17.16,haze,Low,8.33,25.9
9334,4.9,Meal,motorcycle,18.28,scattered clouds,High,13.43,38.37
A528,4.6,Snack,motorcycle,17.79,clear sky,Very High,23.01,52.13
5551,4.5,Buffet,motorcycle,26.98,smoke,Low,7.3,27.07
9341,4.7,Drinks,scooter,19.42,haze,Moderate,10.7,39.53
A527,4.2,Snack,scooter,17.14,haze,Low,8.16,23.02
73FC,4.9,Buffet,scooter,25.15,mist,High,24.82,50.93
9B62,4.7,Drinks,electric_scooter,19.2,clear sky,Low,6.27,26.52
6143,4.9,Buffet,electric_scooter,19.04,clear sky,High,16.59,42.07
22FA,4.9,Buffet,motorcycle,26.47,scattered clouds,Very High,29.7,75.73
C1B4,4.7,Meal,motorcycle,23.92,mist,Moderate,13.48,31.92
747A,4.8,Buffet,scooter,18.24,broken clouds,High,18.17,48.33
8679,4.9,Meal,motorcycle,19.9,clear sky,Very High,24.55,46.03
B73,4.9,Buffet,motorcycle,26.5,mist,High,19.18,43.23
2.40E+08,4.6,Drinks,motorcycle,18.12,scattered clouds,Moderate,20.68,38.38
52C1,4.9,Buffet,motorcycle,25.73,smoke,Very High,28.28,60.98
683C,4.0,Snack,motorcycle,22.9,clear sky,Very Low,2.92,12.63
7183,5.0,Meal,scooter,18.05,broken clouds,Low,6.29,16.72
2230,4.4,Snack,motorcycle,25.03,mist,High,19.17,41.8
1B4A,4.6,Snack,electric_scooter,21.27,broken clouds,Moderate,9.45,26.77
7E8A,4.8,Buffet,scooter,19.23,mist,Moderate,11.71,34.45
9450,4.6,Snack,motorcycle,19.19,clear sky,Moderate,11.93,32.8
B89,4.5,Meal,motorcycle,19.64,haze,Moderate,7.72,23.6
B3D4,4.8,Buffet,electric_scooter,17.08,haze,High,13.17,34.12
7AA3,4.3,Snack,motorcycle,21.43,broken clouds,Moderate,8.03,26.8
20AA,4.9,Snack,scooter,26.52,mist,High,15.71,41.22
7A31,4.8,Drinks,motorcycle,21.32,broken clouds,Very Low,2.5,20.28
3.40E+03,4.8,Buffet,motorcycle,21.3,broken clouds,High,20.43,46.18
4A8A,4.6,Buffet,scooter,19.25,clear sky,High,12.49,33.02
B022,4.6,Drinks,motorcycle,19.23,clear sky,Moderate,9.73,34.08
7884,4.8,Meal,scooter,19.16,clear sky,Moderate,13.17,30.87
7FC4,4.6,Meal,scooter,17.08,haze,Low,4.15,15.9
CB4A,5.0,Snack,scooter,21.77,clear sky,Low,4.4,17.7
98C7,4.9,Meal,motorcycle,19.63,haze,Low,5.63,18.88
6A7E,4.9,Drinks,motorcycle,18.2,scattered clouds,High,15.88,46.63
BFA1,4.6,Snack,motorcycle,21.78,clear sky,High,23.8,47.03
440,4.6,Meal,motorcycle,23.38,clear sky,Low,7.87,17.45
6A8B,4.2,Drinks,motorcycle,25.14,mist,Very High,26.2,58.12
64F0,4.6,Meal,scooter,19.06,clear sky,High,15.0,36.53
5D13,4.7,Snack,motorcycle,22.66,clear sky,Moderate,13.87,29.82
4BFB,2.6,Drinks,scooter,17.6,clear sky,High,20.75,47.63
734E,4.5,Buffet,motorcycle,19.44,haze,Low,6.96,15.25
7175,4.6,Buffet,motorcycle,18.28,scattered clouds,Moderate,7.25,29.6
9580,4.9,Buffet,motorcycle,24.95,mist,Moderate,13.7,34.85
61B2,4.9,Meal,scooter,22.99,clear sky,Low,8.39,18.25
8B5F,4.8,Drinks,scooter,18.43,broken clouds,High,17.9,43.22
E26B,4.6,Meal,electric_scooter,15.75,clear sky,Low,5.24,14.63
4A19,4.7,Drinks,motorcycle,22.97,clear sky,Moderate,11.41,34.83
B1BE,4.4,Drinks,motorcycle,17.81,clear sky,High,18.74,50.2
69D7,4.6,Drinks,scooter,17.24,clear sky,Very High,31.62,58.45
5701,4.9,Buffet,motorcycle,17.14,haze,Moderate,9.33,25.45
6168,4.6,Snack,motorcycle,17.81,clear sky,Very Low,3.1,10.45
36BB,4.9,Meal,motorcycle,18.4,broken clouds,Moderate,20.42,31.95
D20C,4.4,Meal,scooter,21.59,clear sky,Moderate,20.61,30.35
7704,4.1,Snack,scooter,19.42,haze,Moderate,10.7,34.08
E16C,4.9,Snack,motorcycle,22.99,haze,High,18.23,38.88
BA70,5.0,Snack,scooter,21.23,broken clouds,High,12.73,36.7
2670,4.5,Snack,scooter,21.4,broken clouds,Low,6.6,24.97
4546,3.6,Drinks,scooter,19.31,clear sky,High,26.53,54.17
1255,4.8,Drinks,motorcycle,22.66,clear sky,Moderate,14.01,38.82
D2BF,4.8,Meal,scooter,21.61,clear sky,Very Low,2.55,9.82
900A,4.9,Meal,motorcycle,19.08,fog,Very High,26.65,55.13
C923,5.0,Snack,motorcycle,21.8,clear sky,Moderate,11.56,32.33
8233,4.1,Buffet,motorcycle,21.18,broken clouds,High,13.79,36.77
3464,3.5,Meal,scooter,26.43,scattered clouds,Very High,18.22,53.03
852F,4.1,Buffet,motorcycle,19.08,clear sky,High,15.59,36.02
2BF9,4.9,Buffet,scooter,17.53,clear sky,Low,4.96,15.93
860E,5.0,Drinks,motorcycle,19.67,haze,Very Low,1.97,15.72
68BC,4.6,Snack,motorcycle,19.99,clear sky,Very High,26.05,53.83
55DF,4.9,Drinks,motorcycle,19.19,fog,Very High,25.08,64.88
A2C1,5.0,Buffet,motorcycle,17.12,haze,Low,6.42,20.55
A513,4.1,Buffet,motorcycle,19.73,haze,Moderate,10.31,27.82
7C0D,4.1,Drinks,motorcycle,26.34,mist,Very Low,2.33,21.18
352B,4.9,Buffet,motorcycle,26.52,mist,High,15.71,39.15
BC86,4.6,Buffet,motorcycle,26.52,mist,Low,5.92,22.53
817C,4.9,Buffet,scooter,21.02,broken clouds,Very High,33.29,59.23
9AE0,4.6,Drinks,motorcycle,19.33,clear sky,High,15.98,52.02
C30F,4.7,Drinks,scooter,19.97,clear sky,High,25.69,53.22
CD06,4.5,Drinks,scooter,21.69,clear sky,Moderate,21.33,35.37
8C69,4.7,Snack,motorcycle,19.2,clear sky,Low,6.21,21.55
3A4D,4.9,Meal,scooter,18.34,broken clouds,Low,7.88,19.3
2349,4.5,Buffet,motorcycle,19.98,haze,High,18.26,39.17
1615,4.6,Meal,motorcycle,19.73,haze,Moderate,10.31,25.8
37EC,4.6,Drinks,motorcycle,23.46,clear sky,Very Low,2.23,15.43
54A1,4.6,Buffet,motorcycle,19.64,haze,Moderate,8.09,24.73
696E,4.4,Meal,motorcycle,17.17,haze,Moderate,13.86,27.72
43D,4.6,Snack,electric_scooter,21.27,broken clouds,Moderate,9.45,26.78
215B,4.3,Buffet,scooter,22.74,clear sky,Moderate,13.47,29.63
6D4F,4.6,Buffet,motorcycle,21.25,broken clouds,Very High,22.72,50.33
54D6,4.0,Drinks,motorcycle,18.62,haze,High,15.27,45.5
9C40,4.6,Buffet,motorcycle,23.39,clear sky,Low,6.06,16.63
713A,4.7,Meal,motorcycle,17.17,haze,Moderate,12.56,26.58
7DD3,4.8,Buffet,electric_scooter,19.01,few clouds,Moderate,11.42,27.6
CEDC,4.1,Buffet,motorcycle,22.98,haze,Low,6.89,21.67
37C5,4.2,Drinks,motorcycle,26.71,clear sky,Very High,27.43,75.3
AC08,4.7,Buffet,motorcycle,19.54,mist,Moderate,10.09,31.55
951C,4.0,Snack,electric_scooter,21.11,broken clouds,Very High,30.82,69.48
48CC,4.1,Drinks,motorcycle,21.27,broken clouds,High,19.01,47.83
575A,4.8,Drinks,motorcycle,26.34,mist,Moderate,9.03,37.13
6421,4.6,Snack,motorcycle,19.01,clear sky,Low,4.38,15.75
506E,4.6,Meal,motorcycle,19.07,fog,High,20.94,42.67
8C46,4.6,Drinks,scooter,19.64,haze,Low,4.13,22.62
72B6,4.6,Buffet,motorcycle,19.89,clear sky,Very High,25.22,56.45
B268,4.5,Drinks,scooter,24.84,mist,Low,4.55,27.28
62D9,4.5,Snack,motorcycle,19.99,clear sky,Very High,26.05,53.8
134D,4.5,Snack,motorcycle,17.51,clear sky,High,21.11,41.12
4167,4.5,Buffet,scooter,26.49,mist,Moderate,14.54,33.93
462B,4.2,Drinks,motorcycle,23.01,clear sky,Low,9.35,28.87
D5A8,4.7,Buffet,motorcycle,22.99,haze,Very Low,1.91,10.65
2A15,4.9,Buffet,motorcycle,25.14,mist,Very High,27.2,51.45
482B,4.5,Buffet,motorcycle,19.62,haze,Very Low,2.42,13.22
BD76,4.9,Snack,motorcycle,26.39,scattered clouds,Very High,19.45,60.18
5538,4.5,Snack,motorcycle,22.47,clear sky,High,20.94,42.45
B7D9,4.8,Buffet,motorcycle,17.19,haze,Moderate,16.74,33.77
BD28,4.5,Buffet,scooter,19.66,mist,High,13.87,39.83
6927,4.8,Meal,motorcycle,19.31,clear sky,High,26.53,44.55
63F5,4.6,Buffet,motorcycle,18.05,scattered clouds,High,25.68,47.47
BD71,4.4,Buffet,motorcycle,19.37,clear sky,Very High,27.04,52.63
89F8,4.6,Meal,motorcycle,26.4,broken clouds,Very High,21.6,58.45
92DF,4.7,Buffet,motorcycle,26.51,mist,Moderate,12.24,31.25
7596,4.8,Meal,motorcycle,19.79,clear sky,Very High,28.38,54.15
BDA,4.6,Drinks,motorcycle,26.73,smoke,High,15.4,58.37
685F,4.8,Drinks,motorcycle,19.9,clear sky,Very High,24.55,55.08
CD8D,4.3,Meal,scooter,12.01,clear sky,Very High,49.15,114.32
6670,4.8,Drinks,scooter,23.39,clear sky,Low,6.0,23.65
7890,5.0,Meal,electric_scooter,22.99,clear sky,Low,8.4,18.05
C938,4.8,Drinks,motorcycle,18.45,clear sky,Very High,31.21,66.38
4B73,4.6,Snack,electric_scooter,26.53,mist,High,14.48,40.42
10A8,4.6,Snack,motorcycle,17.66,clear sky,Low,4.97,18.97
207D,3.8,Snack,scooter,19.5,mist,Very High,29.57,69.73
5F7B,4.7,Buffet,scooter,19.0,clear sky,Moderate,12.05,29.8
CA59,4.9,Snack,scooter,23.99,mist,Very High,28.81,54.57
7.10E+09,4.6,Meal,scooter,25.12,mist,High,20.35,43.88
4629,4.9,Drinks,scooter,19.93,clear sky,Very High,27.74,60.68
3715,4.1,Buffet,motorcycle,27.05,clear sky,Very High,42.66,101.23
9ECC,4.9,Drinks,electric_scooter,27.04,clear sky,Very High,23.41,66.65
CA04,5.0,Meal,motorcycle,21.63,clear sky,Moderate,5.85,25.32
45AC,4.9,Meal,motorcycle,17.64,clear sky,Moderate,12.82,21.2
A3BF,5.0,Snack,scooter,19.61,haze,Low,8.25,23.65
C8AF,4.7,Drinks,scooter,17.86,mist,Low,5.73,28.23
2953,4.6,Meal,scooter,26.54,mist,High,17.93,40.35
CD77,4.9,Drinks,motorcycle,18.54,clear sky,Very High,43.08,58.5
A875,4.8,Drinks,electric_scooter,18.74,haze,Very High,20.8,59.83
8B5,4.6,Meal,motorcycle,21.39,broken clouds,Moderate,10.64,28.77
4CEF,4.7,Drinks,scooter,23.61,clear sky,Very Low,3.97,19.0
25B3,4.6,Buffet,motorcycle,19.4,mist,Moderate,9.83,29.55
21DC,4.8,Snack,scooter,17.18,haze,High,16.9,38.4
B2D0,5.0,Drinks,motorcycle,26.94,smoke,Low,5.06,31.32
1050,4.8,Buffet,motorcycle,21.4,broken clouds,Low,4.85,17.57
229F,4.1,Snack,motorcycle,19.54,haze,Moderate,11.62,31.67
CFE,4.6,Snack,scooter,21.4,broken clouds,Moderate,10.22,26.53
2A16,4.0,Drinks,scooter,26.34,smoke,Very High,22.89,74.07
CA9F,5.0,Meal,electric_scooter,24.94,scattered clouds,Low,5.66,20.9
A21D,5.0,Meal,motorcycle,21.29,broken clouds,Moderate,8.9,24.68
656C,4.5,Snack,electric_scooter,21.23,broken clouds,Very Low,2.15,12.67
27A6,4.9,Drinks,motorcycle,24.42,clear sky,High,19.19,48.02
336A,5.0,Drinks,scooter,19.9,clear sky,High,19.82,50.68
64C9,4.8,Drinks,motorcycle,19.81,haze,Low,7.89,29.43
BF19,4.6,Buffet,electric_scooter,22.23,clear sky,Very Low,3.14,11.52
8A65,5.0,Buffet,motorcycle,17.25,clear sky,Moderate,18.49,32.33
A4A2,4.8,Meal,electric_scooter,25.0,mist,High,16.69,34.35
7740,4.3,Snack,motorcycle,22.55,clear sky,Moderate,13.91,30.67
9187,3.6,Buffet,scooter,26.43,scattered clouds,Very High,14.88,53.97
B670,4.5,Meal,motorcycle,17.42,clear sky,High,23.58,45.9
50A5,4.9,Drinks,scooter,26.51,mist,High,18.82,54.9
76F8,4.7,Meal,motorcycle,26.36,mist,Moderate,11.34,27.9
9837,4.9,Drinks,scooter,17.69,clear sky,Low,4.57,20.0
C240,4.2,Meal,motorcycle,23.03,haze,Low,8.37,20.2
529,4.6,Meal,scooter,24.82,mist,Low,6.4,19.02
7.00E+01,4.4,Buffet,motorcycle,19.5,mist,Very High,29.57,67.7
B8FE,4.1,Snack,motorcycle,23.02,clear sky,High,16.42,36.13
2960,4.6,Drinks,scooter,27.04,smoke,High,17.77,51.67
40BA,4.9,Meal,scooter,25.15,mist,High,24.02,42.95
E156,4.1,Drinks,scooter,18.79,clear sky,High,23.44,46.43
4571,4.8,Drinks,scooter,26.43,scattered clouds,Very High,16.3,61.05
B354,4.9,Buffet,scooter,17.54,clear sky,High,18.51,35.23
111F,5.0,Snack,electric_scooter,17.09,haze,Low,7.16,24.12
2EB7,4.6,Meal,scooter,27.05,clear sky,Moderate,7.8,28.42
957D,4.7,Buffet,motorcycle,19.47,clear sky,Very High,25.16,53.78
ACDA,4.7,Snack,motorcycle,21.32,broken clouds,Moderate,13.63,35.3
7CA0,4.7,Meal,scooter,23.59,clear sky,Low,5.83,14.28
DAB4,4.8,Buffet,scooter,22.19,clear sky,Very Low,3.45,10.18
2088,4.3,Buffet,motorcycle,22.88,clear sky,Low,5.52,14.35
A4EE,4.2,Drinks,motorcycle,17.16,haze,Very Low,2.62,19.43
258A,4.6,Snack,scooter,19.54,mist,Very Low,5.42,14.28
8478,4.7,Meal,electric_scooter,22.88,clear sky,High,22.71,42.32
2808,5.0,Snack,scooter,24.94,mist,Moderate,11.27,35.23
C44,4.6,Drinks,motorcycle,17.18,clear sky,High,16.92,46.55
A1B9,4.9,Meal,motorcycle,18.4,broken clouds,High,25.86,41.28
DA70,4.6,Snack,scooter,24.98,mist,Low,7.48,25.52
A896,4.9,Buffet,motorcycle,17.82,clear sky,Very Low,1.79,7.17
C828,4.7,Buffet,motorcycle,8.79,clear sky,Very High,43.24,104.05
1334,4.7,Meal,electric_scooter,19.42,mist,Moderate,9.38,25.4
7194,5.0,Buffet,electric_scooter,24.95,mist,Low,4.82,18.57
201F,4.6,Meal,motorcycle,18.13,broken clouds,High,21.93,34.4
50D8,4.2,Buffet,motorcycle,26.43,scattered clouds,Very High,18.22,56.33
733F,4.8,Snack,motorcycle,24.96,mist,Moderate,11.53,30.92
CE15,4.4,Drinks,motorcycle,19.01,clear sky,Very Low,2.41,17.88
6.00E+21,4.8,Snack,motorcycle,21.26,broken clouds,High,17.06,47.65
